ultimaAtualizacaoCadastral,situacao,sequencialImovel,proprietarioPrincipal,natureza,inscricaoImobiliaria,enderecoImovelNomeLogradouro,enderecoImovelMunicipio,enderecoImovelEstado,enderecoImovelComplemento,enderecoImovelCodigoLogradouro,enderecoImovelCep,enderecoImovelBairro,enderecoCorrespondenciaNumero,enderecoCorrespondenciaNomeLogradouro,enderecoCorrespondenciaMunicipio,enderecoCorrespondenciaEstado,enderecoCorrespondenciaComplemento,enderecoCorrespondenciaCep,enderecoCorrespondenciaBairro,documentoProprietario,cepProprietario,topografiaLote,testadaPrincipalLote,testadaFicticiaLote,superficieLote,muradoLote,formatoLote,comCalcadaLote,areaLote,tipoEmpreendimentoMultipla,quantidadePavimentosMultipla,nomeSuperContemMultipla,nomeEdificacaoMultipla,areaTotalConstruidaMultipla,anoConstrucaoMultipla,tipoEstruturaSimples,tipoEmpreendimentoSimples,tipoConstrucaoSimples,padraoConstrucaoSimples,numeroHabiteseSimples,fracaoIdealSimples,estadoConservacaoSimples,dataCadastroPrefeituraSimples,coeficienteDepreciacao,areaTotalConstruidaSimples,valorVenal,valorAreaConstruidaM2,v0ValorTestadaFicticia,tipoAliquotaImposto,regimeTributacaoTLP,regimeTributacaoIPTU,patrimonio,aliquotaImposto,situacaoPavimentacao,distrito,setor,quadra,face,lote,sequencial,longitude,latitude
02/12/2015,Ativo,1031171,MUNICIPIO DO RECIFE,Territorial,1.1410.190.02.0025.0000-6,RUA PAULINO GOMES DE SOUZA Q-PRACA,RECIFE,PE,,0,52050250,GRACAS,925,CAI DO APOLO,RECIFE,PE,EDIF.ESPECIAL,50000,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,50.00,Seca,Não,Irregular,Não,909.00,,,,,,,,,,,,,,,,,233984.86,,6201.56,Normal,Ocorrência do Instituto da Confusão,Ocorrência do Instituto da Confusão,Administração Direta Municipal,0.0000,Parcialmente Pavimentado,1,1410,190,2,25,1031171,,
29/11/2015,Ativo,1032984,MUNICIPIO DO RECIFE,Territorial,1.1410.140.01.0730.0000-0,RUA DO FUTURO Q-AREA L-D,RECIFE,PE,,0,52050660,JAQUEIRA,925,CAI DO APOLO,RECIFE,PE,EDIF.ESPECIAL 5AND,50000,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,277.00,Seca,Sim,Irregular,Sim,77974.55,,,,,,,,,,,,,,,,,5854719.46,,11694.47,Normal,Ocorrência do Instituto da Confusão,Ocorrência do Instituto da Confusão,Administração Direta Municipal,0.0300,Parcialmente Pavimentado,1,1410,140,1,730,1032984,-34.904747,-8.036815
29/11/2015,Ativo,1049160,MUNICIPIO DO RECIFE,Predial,1.1426.030.01.0170.0000-3,RUA DR JOAQUIM ARRUDA FALCAO,RECIFE,PE,,34541,52021070,ESPINHEIRO,269,RUA DR JOAQUIM ARRUDA FALCAO,RECIFE,PE,,52021070,ESPINHEIRO,10.565.000/0001-92,50030230,Plana,Plana,9.00,Seca,Sim,Irregular,Sim,180.00,,,,,,,Alvenaria,Casa,Casa,Médio,4455,1.0,Bom,01/01/1955,0.6,276.1,93910.82,458.43,2495.46,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Parcialmente Pavimentado,1,1426,30,1,170,1049160,-34.887555,-8.040748
29/11/2015,Ativo,1050834,MUNICIPIO DO RECIFE,Predial,1.1426.043.01.0379.0000-4,RUA SACADURA CABRAL,RECIFE,PE,,53279,52021120,ESPINHEIRO,168,RUA SACADURA CABRAL,RECIFE,PE,,52021120,ESPINHEIRO,10.565.000/0001-92,50030230,Plana,Plana,7.40,Seca,Sim,Irregular,Sim,110.00,,,,,,,Alvenaria,Casa,Casa,Simples,,1.0,Bom,01/01/1955,0.6,52.0,13515.10,327.41,673.45,Normal,38 - Isencao Total,Imune Executivo,Prefeitura do Recife,0.0000,Não Pavimentado,1,1426,43,1,379,1050834,,
29/11/2015,Ativo,1063391,MUNICIPIO DO RECIFE,Territorial,1.1445.155.02.0670.0000-4,RUA CEL VIRGILIO DE MEDEIROS Q-A L-12,RECIFE,PE,,0,50110400,SANTO AMARO,925,AV MARTIN LUTHER KING,RECIFE,PE,,50000,BAIRRO DO RECIFE,10.565.000/0001-92,50030230,Plana,Plana,15.00,Seca,Não,Irregular,Não,450.00,,,,,,,,,,,,,,,,,43190.10,,2879.34,Normal,Desapropriacao,Ocorrência do Instituto da Confusão,Municipal com uso próprio,0.0000,Parcialmente Pavimentado,1,1445,155,2,670,1063391,-34.876882,-8.044247
28/11/2015,Ativo,1063405,MUNICIPIO DO RECIFE,Predial,1.1445.155.02.0777.0000-9,RUA CEL VIRGILIO DE MEDEIROS,RECIFE,PE,,65013,50110400,SANTO AMARO,187,RUA CEL VIRGILIO DE MEDEIROS,RECIFE,PE,,50110400,SANTO AMARO,10.565.000/0001-92,50030230,Plana,Plana,15.00,Seca,Sim,Irregular,Sim,450.00,,,,,,,Alvenaria,Casa,Casa,Simples,,1.0,Bom,01/01/1971,0.7849,120.0,80198.45,392.92,2879.34,Normal,Desapropriacao,Normal,Particular,0.0125,Não Pavimentado,1,1445,155,2,777,1063405,-34.876774,-8.044325
29/11/2015,Ativo,1065114,MUNICIPIO DO RECIFE,Predial,1.1445.183.03.0012.0000-7,AV CRUZ CABUGA,RECIFE,PE,,18481,50040000,SANTO AMARO,,AV CRUZ CABUGA,RECIFE,PE,,50040000,SANTO AMARO,10.565.000/0001-92,50030230,Plana,Plana,47.00,Seca,Sim,Irregular,Sim,1269.00,,,,,,,Alvenaria,Casa,Casa,Simples,,1.0,Bom,01/01/1948,0.6,2870.0,876781.80,327.41,7028.56,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Pavimentado,1,1445,183,3,12,1065114,-34.87664,-8.046684
29/11/2015,Ativo,1070312,MUNICIPIO DO RECIFE,Territorial,1.1445.714.77.0001.0000-8,AV NORTE MIGUEL ARRAES DE ALENCAR,RECIFE,PE,,0,50100000,SANTO AMARO,925,C DO APOLO,RECIFE,PE,EDIF.ESPECIAL,50000,RECIFE,10.565.000/0001-92,50030230,Plana,Plana,29.75,Seca,Sim,Irregular,Sim,1260.54,,,,,,,,,,,,,,,,,216062.35,,6201.56,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Parcialmente Pavimentado,1,1445,714,77,1,1070312,,
29/11/2015,Ativo,1081039,MUNICIPIO DO RECIFE,Predial,1.1450.140.04.0075.0000-4,AV CRUZ CABUGA,RECIFE,PE,,18481,50040000,SANTO AMARO,,AV CRUZ CABUGA,RECIFE,PE,,50040000,SANTO AMARO,10.565.000/0001-92,50030230,Plana,Plana,68.00,Seca,Sim,Irregular,Sim,4550.00,,,,,,,Alvenaria,Edificação Especial,Edificação Especial,Simples,,1.0,Bom,01/01/1969,0.7649,250.0,735117.91,392.92,7028.56,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Pavimentado,1,1450,140,4,75,1081039,-34.876458,-8.047484
29/11/2015,Ativo,1087517,MUNICIPIO DO RECIFE,Predial,1.1450.290.02.0110.0000-8,RUA COELHO LEITE,RECIFE,PE,,17060,50100140,SANTO AMARO,1188,RUA COELHO LEITE,RECIFE,PE,,50100140,SANTO AMARO,10.565.000/0001-92,50030230,Plana,Plana,20.00,Seca,Sim,Irregular,Sim,1146.00,,,,,,,Alvenaria,Edificação Especial,Edificação Especial,Médio,,1.0,Bom,01/01/1969,0.7649,510.0,310276.50,549.97,3647.00,Normal,38 - Isencao Total,Imune Executivo,Municipal com uso próprio,0.0000,Pavimentado,1,1450,290,2,110,1087517,-34.880778,-8.049867
